run_name,experiment,split,accuracy,macro_f1,weighted_f1,model_size_bytes,precision_walking,recall_walking,f1_walking,precision_walking_upstairs,recall_walking_upstairs,f1_walking_upstairs,precision_walking_downstairs,recall_walking_downstairs,f1_walking_downstairs,precision_sitting,recall_sitting,f1_sitting,precision_standing,recall_standing,f1_standing,precision_laying,recall_laying,f1_laying
m3_v2_1_uci_only_baseline_int8,uci_only_baseline_v2_1_eval,uci_test,0.9032914828639295,0.9024800475879928,0.903030020485141,10288,0.9713701431492843,0.9576612903225806,0.9644670050761421,0.9213250517598344,0.9447983014861996,0.9329140461215933,0.8971291866028708,0.8928571428571429,0.8949880668257757,0.8443935926773455,0.7515274949083504,0.7952586206896551,0.7918088737201365,0.8721804511278195,0.8300536672629696,1.0,0.994413407821229,0.9971988795518207
m3_v2_1_uci_only_baseline_int8,uci_only_baseline_v2_1_eval,arduino_v2_grouped,0.21359223300970873,0.058666666666666666,0.07518446601941747,10288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21359223300970873,1.0,0.352
m3_v2_1_uci_only_baseline_int8,uci_only_baseline_v2_1_eval,right_60s,0.1875,0.05263157894736842,0.05921052631578947,10288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,1.0,0.3157894736842105
m3_v2_1_uci_only_baseline_int8,uci_only_baseline_v2_1_eval,left_30s,0.19130434782608696,0.0535279805352798,0.06144081244049508,10288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19130434782608696,1.0,0.32116788321167883
m3_v2_1_arduino_only_int8,arduino_only_v2_1,uci_test,0.19545300305395316,0.10822505286133279,0.11103932415168488,10288,0.0,0.0,0.0,0.19422680412371135,1.0,0.32527624309392267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9459459459459459,0.19553072625698323,0.32407407407407407
m3_v2_1_arduino_only_int8,arduino_only_v2_1,arduino_v2_grouped,0.5436893203883495,0.4686373873873874,0.43537785358173703,10288,0.5238095238095238,1.0,0.6875,0.6666666666666666,1.0,0.8,0.21428571428571427,0.6666666666666666,0.32432432432432434,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
m3_v2_1_arduino_only_int8,arduino_only_v2_1,right_60s,0.8208333333333333,0.8049832966985108,0.7892371611667771,10288,0.9183673469387755,1.0,0.9574468085106383,1.0,0.8666666666666667,0.9285714285714286,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,0.17777777777777778,0.3018867924528302,1.0,1.0,1.0,0.5487804878048781,1.0,0.7086614173228346
m3_v2_1_arduino_only_int8,arduino_only_v2_1,left_30s,0.5391304347826087,0.5093795093795094,0.4795407491059665,10288,0.40425531914893614,1.0,0.5757575757575758,0.8333333333333334,1.0,0.9090909090909091,1.0,0.4,0.5714285714285714,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
m3_v2_1_uci_pretrain_finetune_int8,uci_pretrain_v2_1_finetune,uci_test,0.517814726840855,0.46300706934259006,0.44925127351138106,10288,0.6952247191011236,0.9979838709677419,0.8195364238410596,0.9722222222222222,0.07430997876857749,0.13806706114398423,0.984984984984985,0.780952380952381,0.8711819389110226,0.2908767772511848,1.0,0.4506654428636989,0.9943820224719101,0.33270676691729323,0.49859154929577465,0.0,0.0,0.0
m3_v2_1_uci_pretrain_finetune_int8,uci_pretrain_v2_1_finetune,arduino_v2_grouped,0.4174757281553398,0.1986111111111111,0.2545307443365696,10288,0.3620689655172414,0.9545454545454546,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
m3_v2_1_uci_pretrain_finetune_int8,uci_pretrain_v2_1_finetune,right_60s,0.36666666666666664,0.25816827492805144,0.2847574911122397,10288,0.30597014925373134,0.9111111111111111,0.4581005586592179,0.14285714285714285,0.06666666666666667,0.09090909090909091,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
m3_v2_1_uci_pretrain_finetune_int8,uci_pretrain_v2_1_finetune,left_30s,0.3826086956521739,0.344163372859025,0.3336174600446813,10288,0.12,0.3157894736842105,0.17391304347826086,0.3448275862068966,0.6666666666666666,0.45454545454545453,0.6,0.4,0.48,0.9166666666666666,1.0,0.9565217391304348,0.0,0.0,0.0,0.0,0.0,0.0
m3_v2_1_mixed_6ch_int8,mixed_6ch_v2_1,uci_test,0.7984390906006108,0.796014713999562,0.8020989399598223,10288,0.7603686635944701,0.6653225806451613,0.7096774193548387,0.9214780600461894,0.8471337579617835,0.8827433628318584,0.5706214689265536,0.7214285714285714,0.637223974763407,0.7436399217221135,0.7739307535641547,0.7584830339321357,0.8317757009345794,0.8364661654135338,0.8341143392689785,0.9860834990059643,0.9236499068901304,0.9538461538461539
m3_v2_1_mixed_6ch_int8,mixed_6ch_v2_1,arduino_v2_grouped,0.7572815533980582,0.7308802308802309,0.6872609591056192,10288,1.0,0.9090909090909091,0.9523809523809523,1.0,0.8333333333333334,0.9090909090909091,0.75,1.0,0.8571428571428571,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.6666666666666666
m3_v2_1_mixed_6ch_int8,mixed_6ch_v2_1,right_60s,0.8708333333333333,0.774073616770246,0.8291661521998601,10288,1.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,1.0,0.9777777777777777,0.9887640449438202,1.0,1.0,1.0,0.9782608695652174,1.0,0.989010989010989
m3_v2_1_mixed_6ch_int8,mixed_6ch_v2_1,left_30s,0.43478260869565216,0.3885858585858586,0.36138603425559945,10288,1.0,0.3157894736842105,0.48,0.56,0.9333333333333333,0.7,0.4444444444444444,0.5333333333333333,0.48484848484848486,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.0,0.0,0.0
m3_v2_1_mixed_focal_6ch_int8,mixed_focal_6ch_v2_1,uci_test,0.7638276213098066,0.7396427046162072,0.75136103471561,10288,0.5526932084309133,0.9516129032258065,0.6992592592592592,0.9582309582309583,0.8280254777070064,0.8883826879271071,0.7633587786259542,0.23809523809523808,0.3629764065335753,0.7051724137931035,0.8329938900203666,0.7637721755368814,0.818,0.768796992481203,0.7926356589147286,0.991578947368421,0.8770949720670391,0.9308300395256917
m3_v2_1_mixed_focal_6ch_int8,mixed_focal_6ch_v2_1,arduino_v2_grouped,0.7572815533980582,0.709904474610357,0.6863477280381906,10288,1.0,1.0,1.0,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.875,0.7777777777777778,0.8235294117647058,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.6666666666666666
m3_v2_1_mixed_focal_6ch_int8,mixed_focal_6ch_v2_1,right_60s,0.8208333333333333,0.7356890206212087,0.7916411459482972,10288,0.8333333333333334,0.8888888888888888,0.8602150537634409,1.0,0.03333333333333333,0.06451612903225806,0.39285714285714285,0.7333333333333333,0.5116279069767442,1.0,0.9777777777777777,0.9887640449438202,1.0,1.0,1.0,0.9782608695652174,1.0,0.989010989010989
m3_v2_1_mixed_focal_6ch_int8,mixed_focal_6ch_v2_1,left_30s,0.6347826086956522,0.5642508510725565,0.5636488142049315,10288,1.0,0.42105263157894735,0.5925925925925926,0.5357142857142857,1.0,0.6976744186046512,0.46153846153846156,0.4,0.42857142857142855,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.6666666666666666
m3_v2_1_mixed_gravity_10ch_int8,mixed_gravity_10ch_v2_1,uci_test,0.8842891075670173,0.8832075485681722,0.8841249286325081,10432,0.8563922942206655,0.9858870967741935,0.9165885660731021,0.9372294372294372,0.9193205944798302,0.9281886387995713,0.9036458333333334,0.8261904761904761,0.8631840796019901,0.8095238095238095,0.7617107942973523,0.7848898216159497,0.8170731707317073,0.881578947368421,0.8481012658227848,1.0,0.9199255121042831,0.9582929194956353
m3_v2_1_mixed_gravity_10ch_int8,mixed_gravity_10ch_v2_1,arduino_v2_grouped,0.6796116504854369,0.6189170536996623,0.6163676792634158,10432,1.0,0.6818181818181818,0.8108108108108109,0.625,0.8333333333333334,0.7142857142857143,0.42857142857142855,0.6666666666666666,0.5217391304347826,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.6666666666666666
m3_v2_1_mixed_gravity_10ch_int8,mixed_gravity_10ch_v2_1,right_60s,0.6708333333333333,0.5654707050055887,0.5849557419324861,10432,0.9512195121951219,0.8666666666666667,0.9069767441860465,1.0,0.1,0.18181818181818182,0.47540983606557374,0.9666666666666667,0.6373626373626373,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.6666666666666666
m3_v2_1_mixed_gravity_10ch_int8,mixed_gravity_10ch_v2_1,left_30s,0.7391304347826086,0.6855921855921855,0.6701067048893136,10432,0.9,0.9473684210526315,0.9230769230769231,0.75,1.0,0.8571428571428571,0.8888888888888888,0.5333333333333333,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.6666666666666666
